type	signed.p	signed.fdr	age.name	n
IDH1	-14.708326391555	-13.5322351324993	ALL	259
DMG	11.4407268132531	10.2646355541974	ALL	130
IDH1	-9.39443845731194	-8.21834719825626	PED+AYA	190
IDH1	-7.52962015282206	-6.38349211714382	AYA	187
DMG	7.43565857272618	6.2595673136705	PED+AYA	124
GBM	5.01688067919357	3.84078942013789	ALL	834
DMG	4.34053479060868	3.19440675493044	AYA	11
GBM	3.9564177787503	2.78032651969461	PED+AYA	284
IDH1	-3.9211620619411	-2.80721870963426	ADO	56
IDH1	-3.85475493287202	-2.67866367381634	ADULT	69
ATRX	-3.5993985784247	-2.42330731936902	ALL	293
TP53	3.56380759843362	2.38771633937794	PED+AYA	336
DMG	3.38867250685481	2.27472915454797	PED	113
GBM	3.25934696066278	2.11321892498454	AYA	192
age	-2.92596789715364	-1.74987663809795	PED+AYA	555
H3-3A	2.88852134677455	1.77457799446771	PED	99
ATRX	-2.65466519191176	-1.50853715623352	AYA	177
ATRX	-2.65335301566058	-1.53940966335374	ADO	60
DMG	2.63241828928604	1.5184749369792	ADO	8
ATRX	-2.4935309622458	-1.31743970319012	PED+AYA	208
H3-3A	2.46074601779125	1.28465475873557	ALL	145
TP53	2.25430469754205	1.10817666186381	AYA	236
ATM	-2.19374367975735	-1.07980032745052	PED	12
Male	2.02105344722463	0.844962188168947	ADULT	357
age	-1.87583418273415	-0.729706147055915	AYA	317
age	1.83401625540391	0.657924996348234	ADULT	615
TP53	1.6928880013272	0.578944649020358	PED	100
ATM	-1.66571813111487	-0.48962687205919	PED+AYA	28
GBM	1.66513106044359	0.489039801387911	ADULT	550
Male	1.53207168369548	0.355980424639796	ALL	652
TP53	1.49647196974783	0.382528617440995	ADO	80
GBM	1.44662491718453	0.332681564877692	PED	92
GBM	1.24371543875061	0.129772086443772	ADO	67
TP53	-1.24321155391826	-0.0671202948625792	ADULT	212
H3-3A	1.20200015419515	0.025908895139471	PED+AYA	139
H3-3A	-1.12829523225669	-0.0143518799498557	ADO	23
H3-3A	-1.00053982923029	0	AYA	40
ATM	-0.94034469456404	0	ALL	76
age	-0.851024574229619	0	PED	238
ATM	-0.83832906501159	0	ADO	8
age	-0.817427370017921	0	ADO	108
Male	0.762263358789168	0	ADO	60
ATRX	-0.668509461142986	0	ADULT	85
age	-0.659261453890205	0	ALL	1170
H3-3A	0.544220126541858	0	ADULT	6
Male	0.384434415634675	0	PED	123
ATM	-0.37695419617634	0	AYA	16
TP53	0.359947933602631	0	ALL	548
ATRX	-0.329582156827158	0	PED	31
Male	0.239666536290407	0	PED+AYA	295
Male	-0.0709649779835378	0	AYA	172
DMG	0.00414315303333258	0	ADULT	6
ATM	0.0033644291611046	0	ADULT	48
