Predictor	coef	CI_Lower	CI_Upper	n	sel
NGLY1	-0.0580391461748483	-0.0839465110993159	-0.023823510590102	10000	1
UBE3C	-0.0549832878012688	-0.0769277270034503	-0.0259781611830878	10000	1
GALT	-0.0476889193449569	-0.0611611153618277	-0.0240932356109003	10000	1
AP2S1	-0.0473178741628297	-0.0690180833108404	-0.019175369877799	10000	1
RAF1	-0.047056885478601	-0.0646273490988238	-0.0201246988113087	10000	1
PHKG2	-0.0443139142248758	-0.0597854654309405	-0.0180827466004239	10000	1
BCL7B	-0.0418495387406526	-0.064017274390086	-0.0137089620361398	10000	1
ACACA	-0.0396336203180928	-0.0559100856061646	-0.00878523955047501	10000	1
HEXA	-0.0393344903872179	-0.0562387674912961	-0.0163369882755481	10000	1
CTSA	-0.0377045645082361	-0.0530923639550052	-0.0155585323517147	10000	1
ITM2B	-0.0366687236195675	-0.0576850702340865	-0.00456403036923197	10000	1
GRN	-0.0360036356152878	-0.059345974054461	-0.0071676865936762	10000	1
RAB12	-0.0353411490497893	-0.0583938406628758	-0.00686008089492054	10000	1
CBR3	-0.033796519888439	-0.049161903205538	-0.00743429431260383	10000	1
LPXN	-0.0333468961338407	-0.0544360014665101	-0.00726253923250386	10000	1
ARSA	-0.0324036629173184	-0.0522686753680737	-0.00354311641302691	10000	1
STAT6	-0.0277155108846938	-0.0527827559764789	-0.00318020580313631	10000	1
SRSF1	0.0213084096678938	0.00181470912120809	0.0396220555356335	10000	1
AHDC1	0.0300324715514749	0.00470741943187054	0.0486457364650035	10000	1
FBN2	0.0301686542321773	0.00172501763232242	0.0620429091097499	10000	1
BCAM	0.0322310784485293	0.00680110076930103	0.0559415916442629	10000	1
ING4	0.0330499038355837	0.00724380068339967	0.0539228448396732	10000	1
LRCH4	0.0335687634294806	0.00196451868037825	0.0585902552453027	10000	1
TIMP3	0.0383096068758415	0.00957744778001525	0.0542419006377199	10000	1
NCALD	0.0398929405788339	0.0107024789166032	0.0532470341093897	10000	1
RPN1	0.0415722965462848	0.00986183053020853	0.0626118907867658	10000	1
MORC2	0.045478910824431	0.0166192824495604	0.0628589145160652	10000	1
NUDT21	0.0491693816260797	0.0202346860798068	0.067854917391703	10000	1
